DeSPAC Ticker,DeSPAC Company,SPAC Ticker/Name,Pre-Merger Name,Compl. Date,Comm. Rtrn %,Ann. Return %,Comm. Price,Comm. % Chg,Mkt. Cap,Warr. Status,Warr. Price,IPO Date,IPO Size (M),Target Focus,Prom. Leaders,Underwriters,Clos. PR Link,SEC Filings,Post-Close S-1 File Date,S-1 Effective Date,Warr. Ex. Date,Warr. Ex D.L.
VLD,"Velo3D, Inc.",SPFR Jaws Spitfire Acquisition Corporation,,9/29/2021,-26.10%,-20.70%,$7.39 ,2.10%,"$1,353,580,674 ",Warrants Trading,$1.67 ,12/3/2020,$345.00 ,"Consumer Tech, Other Tech",Barry Sternlicht (Chairman and CEO of St...,Credit Suisse,Clos. PR Link,SEC Filings,10/21/2021,10/29/2021,12/3/2021,
SHPW,"Shapeways Holdings, Inc.",GLEO Galileo Acquisition Corp,,9/29/2021,-73.00%,-30.50%,$2.70 ,6.70%,"$130,400,507 ",Warrants Trading,$0.27 ,10/18/2019,$138.00 ,"Italy, Italian family-owned businesses",,"EarlyBirdCapital, I-Bankers",Clos. PR Link,SEC Filings,10/20/2021,10/28/2021,10/29/2021,
LMDX,LumiraDx,CAHC CA Healthcare Acquisition Corp.,,9/28/2021,-38.40%,-34.40%,$6.16 ,-0.60%,"$277,375,850 ",Warrants Trading,$0.95 ,1/26/2021,$115.00 ,"Healthcare Services, IT, care management...",,BTIG,Clos. PR Link,SEC Filings,,,1/26/2022,
STRC,Sarcos Technology and Robotics Corporation,ROT Rotor Acquisition Corp.,Sarcos Robotics,9/24/2021,-46.10%,-40.20%,$5.39 ,0.40%,"$769,954,924 ",Warrants Trading,$0.87 ,1/14/2021,$276.00 ,,Brian Finn (Fmr Head of Alternative Inve...,Credit Suisse,Clos. PR Link,SEC Filings,10/15/2021,10/22/2021,1/14/2022,
JSPR,"Jasper Therapeutics, Inc.",AMHC Amplitude Healthcare Acquisition Corp,,9/24/2021,-66.10%,-28.70%,$3.39 ,9.00%,"$123,928,955 ",Warrants Trading,$0.22 ,11/19/2019,$100.00 ,Healthcare,,"BMO, SVB Leerink",Clos. PR Link,SEC Filings,10/15/2021,10/27/2021,10/24/2021,
ML,MoneyLion Inc.,ML Fusion Acquisition,,9/22/2021,-75.40%,-44.30%,$2.46 ,13.40%,"$556,397,162 ",Warrants Trading,$0.38 ,6/26/2020,$350.00 ,"Fintech, Asset Management, Wealth Manage...",,"Cantor, Odeon Capital Group",Clos. PR Link,SEC Filings,10/14/2021,10/25/2021,10/22/2021,
NRDY,Nerdy,PACE TPG Pace Tech Opportunities Corp.,,9/20/2021,-57.60%,-40.50%,$4.24 ,4.20%,"$355,790,268 ",Warrants Trading,$0.86 ,10/6/2020,$450.00 ,Tech,"TPG, Karl Peterson (Senior Partner of TP...","Deutsche Bank, JP Morgan, Barclays, TPG ...",Clos. PR Link,SEC Filings,10/15/2021,10/25/2021,10/20/2021,
RBOT,Vicarious Surgical Inc.,DEH D8 Holdings Corp,,9/20/2021,-45.30%,-27.50%,$5.47 ,5.20%,"$540,613,512 ",Warrants Trading,$0.83 ,7/15/2020,$345.00 ,Consumer,Terry Lundgren (Former CEO of Macy’s and...,UBS,Clos. PR Link,SEC Filings,10/15/2021,10/25/2021,10/20/2021,
DNA,"Ginkgo Bioworks Holdings, Inc.",SRNG Soaring Eagle Acquisition Corp.,,9/16/2021,-65.30%,-62.90%,$3.47 ,-0.30%,"$4,548,417,562 ",Warrants Trading,$0.80 ,2/23/2021,"$1,725.00 ",,Harry Sloan (Former CEO of MGM),Goldman Sachs,Clos. PR Link,SEC Filings,8/11/2021,9/17/2021,2/23/2022,
ACHR,Archer Aviation Inc.,ACIC Atlas Crest Investment Corp.,,9/16/2021,-65.60%,-48.10%,$3.44 ,4.90%,"$541,002,044 ",Warrants Trading,$0.50 ,10/27/2020,$500.00 ,,"Ken Moelis (Chairman/CEO, Moelis & Co)",Cantor,Clos. PR Link,SEC Filings,10/7/2021,10/27/2021,10/27/2021,
LFG,Archaea Energy Inc.,RICE Rice Acquisition Corp.,Aria Energy LLC and Archaea Energy LLC,9/15/2021,85.40%,61.80%,$18.54 ,6.60%,"$993,576,695 ",,,10/21/2020,$237.30 ,"Energy transition, Sustainability","Daniel Rice, IV (Fmr CEO, Rice Energy), ...",Barclays,Clos. PR Link,SEC Filings,10/6/2021,10/22/2021,10/21/2021,12/6/2021
LILM,Lilium GmbH,LILM Qell Acquisition Corp.,,9/14/2021,-57.10%,-39.70%,$4.29 ,8.60%,"$1,114,100,104 ",Warrants Trading,$0.57 ,9/30/2020,$379.50 ,"Next-generation Mobility, Transportation...","Barry Engle (Fmr President, GM North Ame...","JP Morgan, Barclays",Clos. PR Link,SEC Filings,9/29/2021,10/28/2021,10/14/2021,
TMC,the metals company Inc.,SOAC Sustainable Opportunities Acquisition Corp,"DeepGreen Metals, Inc.",9/9/2021,-79.60%,-43.20%,$2.04 ,-7.30%,"$459,528,925 ",Warrants Trading,$0.46 ,5/6/2020,$300.00 ,Sustainability,,Citigroup,Clos. PR Link,SEC Filings,10/7/2021,10/25/2021,10/9/2021,
BKSY,BlackSky Technology Inc.,SFTW Osprey Technology Acquisition Corp,,9/9/2021,-80.60%,-34.20%,$1.94 ,-5.80%,"$225,265,952 ",Warrants Trading,$0.26 ,11/1/2019,$316.30 ,Enterprise Software,,"Credit Suisse, I-Bankers",Clos. PR Link,SEC Filings,10/25/2021,12/17/2021,10/9/2021,
CRXT,"Clarus Therapeutics Holdings, Inc.",BLUW Blue Water Acquisition Corp.,,9/9/2021,-93.40%,-75.90%,$0.66 ,-10.40%,"$14,339,039 ",Warrants Trading,$0.12 ,12/15/2020,$58.70 ,Healthcare,,Maxim,Clos. PR Link,SEC Filings,9/30/2021,10/8/2021,12/15/2021,
ARQQ,Arqit Quantum Inc.,CENH Centricus Acquisition Corp.,Arqit Limited,9/3/2021,45.50%,41.60%,$14.55 ,-0.50%,"$1,747,068,407 ",Warrants Trading,$3.85 ,2/3/2021,$345.00 ,,Manfredi Lefebvre d’Ovidio (Fmr Exec Cha...,"Deutsche Bank, Barclays",Clos. PR Link,SEC Filings,10/1/2021,10/13/2021,2/3/2022,
RDW,Redwire Corporation,GNPK Genesis Park Acquisition Corp.,,9/2/2021,-37.80%,-29.30%,$6.22 ,8.20%,"$371,093,118 ",Warrants Trading,$1.65 ,11/23/2020,$166.20 ,Aviation and aviation services,"Richard Anderson (Fmr CEO, Delta; Fmr CE...",Jefferies,Clos. PR Link,SEC Filings,9/24/2021,10/5/2021,11/23/2021,
RCOR,"Renovacor, Inc.",CHAQ Chardan Healthcare Acquisition 2 Corp,,9/2/2021,-42.80%,-22.80%,$5.72 ,11.90%,"$98,704,560 ",Warrants Trading,$0.41 ,4/24/2020,$85.00 ,Healthcare,Chardan,Chardan,Clos. PR Link,SEC Filings,10/15/2021,11/2/2021,10/2/2021,
OPAD,Offerpad Solutions Inc.,SPNV Supernova Partners Acquisition Company,"Offerpad, Inc.",9/1/2021,-58.80%,-42.50%,$4.12 ,1.70%,"$924,105,885 ",Warrants Trading,$0.61 ,10/20/2020,$402.50 ,Growth company that Benefits from Tech-e...,Spencer Rascoff (Co-founder and Fmr CEO ...,"JP Morgan, Jefferies",Clos. PR Link,SEC Filings,9/24/2021,10/4/2021,10/20/2021,
SLGC,"SomaLogic, Inc.",CMII CM Life Sciences II Inc.,,9/1/2021,-15.30%,-14.70%,$8.47 ,3.40%,"$1,534,533,269 ",Warrants Trading,$2.09 ,2/22/2021,$276.00 ,"Life Sciences, Healthcare","Keith Meister (Founder, Corvex Managemen...",Jefferies,Clos. PR Link,SEC Filings,10/1/2021,10/14/2021,2/22/2022,
CLBT,Cellebrite DI Ltd.,TWCT TWC Tech Holdings II Corp,,8/30/2021,-35.40%,-23.80%,$6.46 ,-0.30%,"$1,137,016,247 ",Warrants Trading,$1.03 ,9/11/2020,$600.00 ,Tech,"True Wind Capital, Scott Wagner (Former ...","Citigroup, Deutsche Bank Securities",Clos. PR Link,SEC Filings,9/27/2021,10/7/2021,9/30/2021,
CIFR,"Cipher Mining, Inc.",GWAC Good Works Acquisition Corp.,,8/27/2021,-68.00%,-49.10%,$3.20 ,8.10%,"$800,557,610 ",Warrants Trading,$0.56 ,10/20/2020,$170.00 ,Financially Distressed,"Fred Zeidman (Chairman, Gordian Group), ...",I-Bankers,Clos. PR Link,SEC Filings,9/24/2021,10/12/2021,10/20/2021,
CZOO,Cazoo Group Ltd.,AJAX Ajax I,,8/27/2021,-73.10%,-53.60%,$2.69 ,8.50%,"$318,839,739 ",Warrants Trading,$0.33 ,10/27/2020,$805.00 ,"Software, Fintech, Consumer","Dan Och (Fmr CEO, Och-Ziff Capital Manag...","Goldman Sachs, Citigroup, JP Morgan",Clos. PR Link,SEC Filings,9/24/2021,10/6/2021,10/27/2021,
VLTA,"Volta, Inc.",SNPR Tortoise Acquisition Corp. II,"Volta Industries, Inc.",8/26/2021,-53.60%,-36.00%,$4.64 ,12.10%,"$706,706,429 ",Warrants Trading,$1.83 ,9/11/2020,$345.00 ,"Energy transition, Sustainability (Decar...",Vincent T. Cubbage (Tortoise Capital Adv...,"Barclays, Goldman Sachs",Clos. PR Link,SEC Filings,9/21/2021,9/30/2021,9/26/2021,
IRNT,"IronNet, Inc.",DFNS LGL Systems Acquisition Corp,,8/26/2021,-53.60%,-22.90%,$4.64 ,-2.50%,"$411,654,443 ",Warrants Trading,$1.60 ,11/7/2019,$172.50 ,"Aerospace, Defense, Communications",,"Jefferies, BTIG",Clos. PR Link,SEC Filings,9/23/2021,10/1/2021,9/26/2021,
GDEV,"Nexters, Inc.",KSMT Kismet Acquisition One Corp,,8/26/2021,,,,,,,,8/5/2020,$250.00 ,Russia,,"Credit Suisse, BofA Securities",Clos. PR Link,SEC Filings,9/22/2021,9/28/2021,9/26/2021,
HUMA,"Humacyte, Inc.",AHAC Alpha Healthcare Acquisition Corp.,,8/26/2021,-41.00%,-27.80%,$5.90 ,4.60%,$0 ,Warrants Trading,$1.65 ,9/17/2020,$100.00 ,Healthcare,"Rajiv Shukla (CEO, Constellation Alpha S...","Mizuho, Oppenheimer, Northland, I-Banker...",Clos. PR Link,SEC Filings,9/17/2021,10/26/2021,9/26/2021,
RKLB,"Rocket Lab USA, Inc.",VACQ Vector Acquisition Corp,,8/25/2021,-11.70%,-8.00%,$8.83 ,3.80%,"$3,966,476,229 ",,,9/24/2020,$320.00 ,,,"Deutsche Bank, BofA Securities",Clos. PR Link,SEC Filings,9/24/2021,10/8/2021,,1/31/2022
EFTR,"eFFECTOR Therapeutics, Inc.",LWAC Locust Walk Acquisition Corp.,,8/25/2021,-61.20%,-52.40%,$3.88 ,-3.00%,"$156,642,297 ",Warrants Trading,$0.39 ,1/7/2021,$175.00 ,"Life Sciences, Healthcare",,Cantor,,SEC Filings,9/23/2021,10/6/2021,1/7/2022,
SMRT,"SmartRent, Inc.",FWAA Fifth Wall Acquisition Corp.,,8/24/2021,-35.50%,-32.60%,$6.45 ,11.40%,"$1,250,423,490 ",,,2/4/2021,$345.00 ,Real Estate,"Brendan Wallace (Co-founder/MP, Fifth Wa...","Goldman Sachs, Deutsche Bank Securities",Clos. PR Link,SEC Filings,9/23/2021,9/30/2021,,
RNW,ReNew Energy Global plc,RMGB RMG Acquisition Corp. II,ReNew Power Private Ltd.,8/23/2021,-14.40%,-11.60%,$8.56 ,0.70%,"$2,417,647,692 ",Warrants Trading,$1.92 ,12/9/2020,$345.00 ,,"James Carpenter (CEO, Riverside Manageme...","BofA Securities, Barclays",Clos. PR Link,SEC Filings,9/22/2021,10/6/2021,12/9/2021,
AGIL,"AgileThought, Inc.",LIVK LIV Capital Acquisition,,8/23/2021,-49.70%,-22.10%,$5.03 ,0.60%,"$211,113,702 ",Warrants Trading,$0.44 ,12/10/2019,$80.50 ,Mexico,,EarlyBirdCapital,Clos. PR Link,SEC Filings,9/14/2021,9/28/2021,9/23/2021,
XOS,"Xos, Inc.",NGAC NextGen Acquisition Corporation,,8/20/2021,-73.60%,-51.80%,$2.64 ,3.10%,"$430,069,036 ",Warrants Trading,$0.34 ,10/6/2020,$375.00 ,"Industrial, Healthcare","George Mattson (Director, Delta Air Line...","Goldman Sachs, Credit Suisse",Clos. PR Link,SEC Filings,9/14/2021,9/24/2021,10/6/2021,
MIMO,Airspan Networks Inc.,NBA New Beginnings Acquisition Corp.,,8/16/2021,-62.20%,-45.80%,$3.78 ,-1.60%,"$272,252,372 ",Warrants Trading,$0.67 ,10/29/2020,$116.20 ,,"Russell W. Galbut (MP, Crescent Heights;...",Ladenburg Thalmann,Clos. PR Link,SEC Filings,9/10/2021,9/21/2021,10/29/2021,
SPIR,"Spire Global, Inc.","NSH NavSight Holdings, Inc.",,8/16/2021,-78.10%,-52.20%,$2.19 ,2.30%,"$293,089,060 ",Warrants Trading,$0.32 ,9/9/2020,$230.00 ,"Tech, US Government Vendors",,Credit Suisse,Clos. PR Link,SEC Filings,9/23/2021,10/1/2021,9/16/2021,
LIDR,"AEye, Inc.",CFAC CF Finance Acquisition Corp. III,,8/16/2021,-63.80%,-48.30%,$3.62 ,2.00%,"$105,885,000 ",Warrants Trading,$0.54 ,11/12/2020,$230.00 ,,"Howard Lutnick (CEO, Cantor)",Cantor,Clos. PR Link,SEC Filings,9/15/2021,9/28/2021,11/12/2021,
OTMO,"Otonomo Technologies, Ltd.",SAII Software Acquisition Group Inc. II,,8/13/2021,-85.90%,-58.00%,$1.41 ,-2.10%,"$177,144,132 ",Warrants Trading,$0.20 ,9/14/2020,$172.50 ,"Software, Tech",Jonathan Huberman (Software Acquisition ...,B. Riley FBR,Clos. PR Link,SEC Filings,8/29/2021,9/9/2021,9/14/2021,
HLBZ,"Helbiz, Inc.",GRNV GreenVision Acquisition Corp,,8/13/2021,-71.80%,-31.20%,$2.82 ,0.40%,"$86,052,602 ",Warrants Trading,$0.20 ,11/19/2019,$57.50 ,"Healthcare, China, Asia, Life Sciences",,I-Bankers,Clos. PR Link,SEC Filings,9/3/2021,9/29/2021,9/13/2021,
MNTS,Momentus Inc.,SRAC Stable Road Acquisition Corp,,8/12/2021,-76.80%,-32.90%,$2.32 ,8.90%,"$186,946,138 ",Warrants Trading,$0.29 ,11/8/2019,$172.50 ,Cannabis,,Cantor,Clos. PR Link,SEC Filings,9/3/2021,9/15/2021,9/12/2021,
RKLY,"Rockley Photonics Holdings, Ltd.",SCPE SC Health Corp,,8/11/2021,-52.70%,-19.80%,$4.73 ,6.80%,"$601,747,847 ",Warrants Trading,$0.98 ,7/11/2019,$172.50 ,"Healthcare, Asia",,"Credit Suisse, I-Bankers",Clos. PR Link,SEC Filings,9/9/2021,9/23/2021,9/11/2021,
SRZN,"Surrozen, Inc",CHFW Consonance-HFW Acquisition Corp.,,8/11/2021,-71.40%,-54.80%,$2.86 ,14.40%,"$100,178,384 ",Warrants Trading,$0.41 ,11/18/2020,$92.00 ,Life Sciences,,Citigroup,Clos. PR Link,SEC Filings,9/13/2021,11/10/2021,11/18/2021,
JOBY,"Joby Aviation, Inc.",RTP Reinvent Technology Partners,,8/10/2021,-51.00%,-34.50%,$4.90 ,0.40%,"$2,959,082,531 ",Warrants Trading,$1.00 ,9/16/2020,$690.00 ,"Consumer Internet, Mobile Gaming, Tech","Reid Hoffman (Co-founder and Former CEO,...",Morgan Stanley,Clos. PR Link,SEC Filings,8/17/2021,9/3/2021,9/16/2021,
LICY,Li-Cycle Holdings Corp.,PDAC Peridot Acquisition Corp.,,8/10/2021,-16.60%,-11.40%,$8.34 ,7.80%,"$1,408,558,254 ",,,9/23/2020,$300.00 ,"Environmental Sustainability, Industrial...",Alan Levande (Former Co-CEO of Covey Par...,"UBS, Barclays",Clos. PR Link,SEC Filings,9/30/2021,10/6/2021,9/23/2021,1/26/2022
TNGX,"Tango Therapeutics, Inc.",BCTG BCTG Acquisition Corp,,8/10/2021,-13.40%,-8.90%,$8.66 ,0.80%,"$758,152,084 ",,,9/3/2020,$166.80 ,Biotech,,SVB Leerink,Clos. PR Link,SEC Filings,9/10/2021,9/30/2021,,
AMBP,Ardagh Metal Packaging S.A.,"GRSV Gores Holdings V, Inc",Divison of Ardagh Group S.A.,8/4/2021,-23.10%,-14.50%,$7.69 ,5.30%,"$4,639,247,016 ",Warrants Trading,$1.53 ,8/5/2020,$525.00 ,,Alec Gores (Founder of The Gores Group),"Deutsche Bank, Morgan Stanley",Clos. PR Link,SEC Filings,8/12/2021,8/23/2021,9/4/2021,
HIPO,Hippo Holdings Inc.,RTPZ Reinvent Technology Partners Z,,8/2/2021,-80.60%,-61.80%,$1.94 ,11.50%,"$1,091,566,451 ",Warrants Trading,$0.29 ,11/18/2020,$230.00 ,"Consumer Internet, Mobile Gaming, Tech","Reid Hoffman (Co-founder and Former CEO,...",Citigroup,Clos. PR Link,SEC Filings,8/24/2021,9/2/2021,11/18/2021,
CCCS,CCC Intelligent Solutions Inc.,DGNR Dragoneer Growth Opportunities Corp.,CCC Information Services,8/2/2021,11.40%,7.30%,$11.14 ,2.70%,"$6,819,249,336 ",,,8/13/2020,$690.00 ,"Software, Internet, Media, Consumer / Re...","Marc Stad (Founder/Managing Partner, Dra...","Citigroup, JP Morgan, Goldman Sachs",Clos. PR Link,SEC Filings,8/27/2021,9/9/2021,,12/29/2021
ROVR,"Rover Group, Inc.",NEBC Nebula Caravel Acquisition Corp.,"A Place for Rover, Inc. (Rover)",7/30/2021,-48.80%,-39.10%,$5.12 ,5.60%,"$920,904,796 ",,,12/8/2020,$275.00 ,Tech,"Adam Clammer (Founding Partner, True Win...","Deutsche Bank Securities, William Blair,...",Clos. PR Link,SEC Filings,9/14/2021,9/24/2021,12/8/2021,1/12/2022
CYXT,"Cyxtera Technologies, Inc.",SVAC Starboard Value Acquisition Corp.,,7/29/2021,19.80%,13.30%,$11.98 ,3.60%,"$1,988,425,305 ",,,9/10/2020,$404.20 ,"Tech, Healthcare, Consumer, Industrials,...","Jeffrey Smith (CEO, Starboard), Pauline ...","UBS, Stifel, Cowen",Clos. PR Link,SEC Filings,8/20/2021,9/8/2021,9/10/2021,1/19/2022
RSVR,"Reservoir Media, Inc.",ROCC Roth CH Acquisition II Co,,7/28/2021,-24.70%,-19.90%,$7.53 ,1.20%,"$482,963,952 ",Warrants Trading,$1.48 ,12/10/2020,$115.00 ,"Business Services, Consumer, Healthcare,...","Byron Roth (CEO, Roth)","Roth Capital Partners, Craig-Hallum Capi...",Clos. PR Link,SEC Filings,7/1/2021,7/29/2021,12/10/2021,
DOMA,"Doma Holdings, Inc.",CAP Capitol Investment Corp. V,"States Title Holding, Inc.",7/28/2021,-74.10%,-58.50%,$2.59 ,0.40%,"$838,906,755 ",Warrants Trading,$0.51 ,12/2/2020,$345.00 ,,"Mark Ein and Dyson Dryden, Raul Fernande...","Citigroup, Deutsche Bank, Morgan Stanley",Clos. PR Link,SEC Filings,8/19/2021,9/9/2021,12/2/2021,
MVST,"Microvast Holdings, Inc.",THCB Tuscan Holdings Corp,,7/26/2021,-12.90%,-4.30%,$8.71 ,9.30%,"$2,617,496,424 ",Warrants Trading,$1.69 ,3/5/2019,$276.00 ,Cannabis,,"EarlyBirdCapital, I-Bankers",Clos. PR Link,SEC Filings,8/20/2021,,8/26/2021,
LCID,"Lucid Group, Inc.",CCIV Churchill Capital Corp IV,Lucid Motors,7/23/2021,152.60%,94.90%,$25.26 ,4.20%,"$41,761,272,047 ",,,7/30/2020,"$2,070.00 ",,Michael Klein (Former Co-CEO of Citigrou...,"Citigroup, Goldman Sachs, JP Morgan",Clos. PR Link,SEC Filings,8/2/2021,8/25/2021,,10/8/2021
MTTR,"Matterport, Inc.","GHVI Gores Holdings VI, Inc.",,7/22/2021,-27.10%,-21.80%,$7.29 ,4.30%,"$1,767,856,055 ",,,12/10/2020,$345.00 ,,Alec Gores (Founder of The Gores Group),"Deutsche Bank, Morgan Stanley",Clos. PR Link,SEC Filings,8/19/2021,8/27/2021,12/10/2021,1/14/2022
SMFR,Sema4 Holdings Corp,"CMLF CM Life Sciences, Inc.",,7/22/2021,-68.70%,-45.30%,$3.13 ,2.60%,"$755,148,063 ",Warrants Trading,$0.64 ,9/1/2020,$442.80 ,"Life Sciences, Healthcare","Keith Meister (Founder, Corvex Managemen...",Jefferies,Clos. PR Link,SEC Filings,8/4/2021,8/13/2021,9/1/2021,
MKTW,MarketWise Inc.,ACND Ascendant Digital Acquisition,Beacon Street Group,7/22/2021,-54.00%,-33.20%,$4.60 ,2.50%,"$115,701,357 ",Warrants Trading,$0.63 ,7/24/2020,$414.00 ,"Digital Media, Entertainment",,UBS,Clos. PR Link,SEC Filings,8/11/2021,8/23/2021,8/22/2021,
REE,REE Automotive Ltd.,VCVC 10X Capital Venture Acquisition Corp,,7/22/2021,-78.30%,-60.80%,$2.17 ,-1.80%,"$498,939,923 ",,,11/24/2020,$201.30 ,Tech,"Hans Thomas (CEO, 10X Capital), David We...",Cantor,Clos. PR Link,SEC Filings,8/20/2021,8/31/2021,11/24/2021,
BGRY,"Berkshire Grey, Inc.",RAAC Revolution Acceleration Acquisition Corp,,7/21/2021,-62.90%,-50.20%,$3.71 ,5.70%,"$830,797,270 ",Warrants Trading,$0.51 ,12/7/2020,$287.50 ,"Financial Services, Healthcare, Tech, Co...","Steve Case (Fmr CEO, AOL; CEO, Revolutio...",Credit Suisse,Clos. PR Link,SEC Filings,8/20/2021,9/3/2021,12/7/2021,
FFIE,Faraday Future Intelligent Electric Inc,PSAC Property Solutions Acquisition,Faraday Future,7/21/2021,-43.80%,-26.90%,$5.62 ,7.70%,"$1,822,906,055 ",Warrants Trading,$0.92 ,7/22/2020,$229.80 ,"PropTech, Real Estate",,EarlyBirdCapital,Clos. PR Link,SEC Filings,8/20/2021,,8/21/2021,
OPFI,"OppFi, Inc.",FGNA FG New America Acquisition Corp.,Opportunity Financial,7/20/2021,-67.90%,-47.10%,$3.21 ,-2.70%,"$43,221,180 ",Warrants Trading,$0.52 ,9/29/2020,$237.80 ,"FinTech, InsureTech, Financial Services,...","Joseph Moglia (Chairman and Former CEO, ...","Piper Sandler, Think Equity",Clos. PR Link,SEC Filings,8/11/2021,9/28/2021,9/29/2021,
SNAX,"Stryve Foods, Inc.",ANDA Andina Acquisition Corp III,,7/20/2021,-74.00%,-23.80%,$2.60 ,-0.40%,"$22,386,013 ",Warrants Trading,$0.24 ,1/28/2019,$108.00 ,Americas,"Julio Torres (Andina I, II)","Cowen, Craig-Hallum Capital Group",Clos. PR Link,SEC Filings,5/26/2021,7/21/2021,8/20/2021,
EVLV,Evolv Technologies Holdings Inc.,NHIC NewHold Investment Corp,,7/19/2021,-65.50%,-40.80%,$3.45 ,8.20%,"$497,342,437 ",Warrants Trading,$0.44 ,7/31/2020,$172.50 ,"Industrial Technology, $700M+",,"Stifel, I-Bankers",Clos. PR Link,SEC Filings,8/12/2021,9/7/2021,8/19/2021,
CELU,Celularity Inc.,GXGX GX Acquisition Corp,,7/16/2021,-15.60%,-5.60%,$8.44 ,-0.60%,"$1,042,037,114 ",Warrants Trading,$1.33 ,5/21/2019,$287.50 ,,,Cantor,Clos. PR Link,SEC Filings,8/6/2021,8/13/2021,8/16/2021,
HLLY,Holley Inc.,EMPW Empower Ltd.,,7/16/2021,37.00%,26.10%,$13.70 ,0.60%,"$1,586,537,254 ",Warrants Trading,$3.91 ,10/7/2020,$250.00 ,"Consumer products, Retail, Services, Exp...","Matthew Rubel (Fmr CEO, Varsity Brands, ...","JP Morgan, Jefferies",Clos. PR Link,SEC Filings,7/21/2021,7/29/2021,10/7/2021,
HYZN,Hyzon Motors Inc.,DCRB Decarbonization Plus Acquisition Corporation,,7/16/2021,-38.60%,-27.80%,$6.14 ,1.80%,"$1,520,538,513 ",Warrants Trading,$1.45 ,10/19/2020,$225.70 ,"Global decarbonization (incl. energy, ag...","Erik Anderson (Founder, WestRiver Group;...","Citigroup, Credit Suisse",Clos. PR Link,SEC Filings,7/30/2021,8/11/2021,10/19/2021,
OWLT,"Owlet, Inc.",SBG Sandbridge Acquisition Corporation,,7/15/2021,-78.60%,-53.10%,$2.14 ,-2.70%,"$241,495,709 ",Warrants Trading,$0.30 ,9/15/2020,$230.00 ,Consumer,"Tommy Hilfiger, Domenico De Sole (Co-Fou...","Citigroup, UBS",Clos. PR Link,SEC Filings,8/5/2021,8/25/2021,9/15/2021,
ENVX,Enovix Corporation,RSVA Rodgers Silicon Valley Acquisition Corp.,,7/14/2021,47.40%,37.40%,$14.74 ,1.20%,"$2,140,920,557 ",,,12/2/2020,$230.00 ,Tech (Silicon Valley based) with applica...,"T. J. Rodgers (Co-founder/Fmr CEO, Cypre...",Oppenheimer & Co.,Clos. PR Link,SEC Filings,8/2/2021,8/10/2021,12/2/2021,1/7/2022
MKFG,"Markforged, Inc.",AONE one,,7/14/2021,-65.50%,-42.00%,$3.45 ,2.70%,"$641,186,223 ",Warrants Trading,$0.70 ,8/17/2020,$215.00 ,Tech,Kevin E. Hartz (co-founder of Xoom--acq ...,Goldman Sachs,Clos. PR Link,SEC Filings,8/12/2021,8/24/2021,8/17/2021,
HLMN,Hillman Solutions Corp.,"LCY Landcadia Holdings III, Inc.?",HMAN Group Holdings Inc. (The Hillman Group),7/14/2021,7.80%,5.50%,$10.78 ,4.50%,"$2,021,999,329 ",,,10/8/2020,$500.00 ,"Consumer, Dining, Hospitality, Entertain...","Tilman Fertitta (Houston Rockets owner, ...",Jefferies,Clos. PR Link,SEC Filings,8/14/2021,8/30/2021,,12/22/2021
UP,Wheels Up Experience Inc.,ASPL Aspirational Consumer Lifestyle Corp.,Wheels Up,7/13/2021,-64.90%,-44.50%,$3.51 ,3.50%,"$862,547,976 ",Warrants Trading,$0.65 ,9/23/2020,$239.70 ,"Consumer, Premium brands that offer an a...",Ravi Thakran (South Asia Group Chairman ...,Credit Suisse,Clos. PR Link,SEC Filings,8/3/2021,8/25/2021,9/23/2021,
SUNL,Sunlight Financial Holdings Inc.,SPRQ Spartan Acquisition Corp. II,,7/9/2021,-55.00%,-42.70%,$4.50 ,3.40%,"$381,668,837 ",Warrants Trading,$0.73 ,11/24/2020,$345.00 ,Energy,Apollo,Cantor,Clos. PR Link,SEC Filings,7/30/2021,9/8/2021,11/24/2021,
FREY,FREYR Battery,ALUS Alussa Energy Acquisition Corp,,7/9/2021,-6.90%,-3.00%,$9.31 ,1.90%,"$1,084,058,178 ",Warrants Trading,$2.78 ,11/26/2019,$250.00 ,Oil and Gas,,BTIG,Clos. PR Link,SEC Filings,8/6/2021,8/11/2021,8/9/2021,
ALIT,"Alight, Inc.",WPF Foley Trasimene Acquisition Corp,,7/2/2021,-7.30%,-4.10%,$9.27 ,2.90%,"$4,141,861,409 ",,,5/27/2020,"$1,035.00 ",Fintech,Bill Foley (Chairman of Fidelity Nationa...,"Credit Suisse, BofA Securities",Clos. PR Link,SEC Filings,8/2/2021,8/24/2021,,12/27/2021
SHCR,"Sharecare, Inc.",FCAC Falcon Capital Acquisition Corp.,,7/1/2021,-67.70%,-46.30%,$3.23 ,8.00%,"$1,095,081,144 ",Warrants Trading,$0.40 ,9/21/2020,$345.00 ,"Media, Digital Media / Consumer Tech, In...","Alan Mnuchin (Board of Directors, FEAC a...",Goldman Sachs,Clos. PR Link,SEC Filings,7/21/2021,7/30/2021,9/21/2021,
EVGO,EVgo Inc.,CLII Climate Change Crisis Real Impact I Acquisition Corp,,7/1/2021,20.20%,14.00%,$12.02 ,2.40%,"$826,215,975 ",Warrants Trading,$3.25 ,9/29/2020,$230.00 ,"Carbon avoidance and removal, Sustainabi...","David Crane (Fmr CEO of IPR, NRG), Beth ...","Citigroup, BofA Securities, Barclays",Clos. PR Link,SEC Filings,7/20/2021,8/2/2021,9/29/2021,
