DeSPAC Ticker,DeSPAC Company,SPAC Ticker/Name,Pre-Merger Name,Compl. Date,Comm. Rtrn %,Ann. Return %,Comm. Price,Comm. % Chg,Mkt. Cap,Warr. Status,Warr. Price,IPO Date,IPO Size (M),Target Focus,Prom. Leaders,Underwriters,Clos. PR Link,SEC Filings,Post-Close S-1 File Date,S-1 Effective Date,Warr. Ex. Date,Warr. Ex D.L.
FATH,Fathom Digital Manufacturing Corp.,ATMR Altimar Acquisition Corp. II,,12/23/2021,-11.10%,-10.20%,$8.89 ,-0.10%,"$451,484,482 ",Warrants Trading,$1.02 ,2/4/2021,$345.00 ,,"Tom Wasserman (Managing Director, HPS In...","Goldman Sachs, JP Morgan",Clos. PR Link,SEC Filings,1/14/2022,1/31/2022,2/4/2022,
ADTH,"AdTheorent Holding Company, Inc.",MACQ MCAP Acquisition Corp,,12/22/2021,-3.90%,-3.80%,$9.61 ,-1.80%,$0 ,Warrants Trading,$1.25 ,2/25/2021,$316.30 ,"Tech, Software",Monroe Capital,Cowen,Clos. PR Link,SEC Filings,1/18/2022,2/1/2022,2/25/2022,
HYPR,Hyperfine Inc.,HCAQ HealthCor Catalio Acquisition Corp.?,Hyperfine and Liminal Sciences,12/22/2021,-69.00%,-61.90%,$3.10 ,-1.60%,"$66,073,400 ",,,1/26/2021,$207.00 ,Healthcare,,Jefferies,Clos. PR Link,SEC Filings,1/24/2022,2/2/2022,1/26/2022,
ZGN,Ermenegildo Zegna N.V.,IIAC Investindustrial Acquisition Corp.,,12/17/2021,-1.10%,-0.80%,$9.89 ,1.90%,"$2,396,778,788 ",Warrants Trading,$1.70 ,11/18/2020,$402.50 ,,,"Deutsche Bank, Goldman Sachs",Clos. PR Link,SEC Filings,1/19/2022,1/31/2022,1/17/2022,
EQRX,"EQRx, Inc.",CMLT CM Life Sciences III Inc.,,12/17/2021,-64.90%,,$3.51 ,5.70%,"$1,711,590,479 ",Warrants Trading,$0.67 ,4/7/2021,$552.00 ,"Life Sciences, Healthcare",Keith Meister (Founder of Corvex Managem...,"Jefferies, Cowen",Clos. PR Link,SEC Filings,12/21/2021,12/27/2021,4/7/2022,
EVTL,Vertical Aerospace Ltd.,BSN Broadstone Acquisition Corp.,,12/16/2021,-31.30%,-21.00%,$6.87 ,1.90%,"$1,436,760,074 ",Warrants Trading,$0.71 ,9/11/2020,$305.30 ,"Stressed, Europe, UK",,Citigroup,Clos. PR Link,SEC Filings,1/18/2022,1/28/2022,1/16/2022,
BOWL,Bowlero Corp.,ISOS Isos Acquisition Corp,,12/15/2021,0.80%,0.80%,$10.08 ,0.80%,"$1,079,228,324 ",Warrants Trading,$2.02 ,3/2/2021,$254.80 ,"Digital Media, Entertainment","George Barrios (Co-Pres/Director, World ...","JP Morgan, LionTree",Clos. PR Link,SEC Filings,1/14/2022,2/1/2022,3/2/2022,
SSU,SIGNA Sports United,YAC Yucaipa Acquisition Corp,,12/14/2021,-17.00%,-10.70%,$8.30 ,-3.20%,"$2,776,128,979 ",Warrants Trading,$0.48 ,8/4/2020,$345.00 ,,Ronald Burkle (Co-owner Pittsburgh Pengu...,Citigroup,Clos. PR Link,SEC Filings,12/23/2021,1/3/2022,1/14/2022,
AMPS,"Altus Power, Inc.","CBAH CBRE Acquisition Holdings, Inc.",,12/9/2021,-18.80%,-15.10%,$8.12 ,0.50%,"$1,247,628,500 ",Warrants Trading,$1.72 ,12/10/2020,$402.50 ,,"Robert Sulentic (CEO, CBRE Group), Jamie...",Morgan Stanley,Clos. PR Link,SEC Filings,1/10/2022,1/24/2022,1/9/2022,
BOXD,"Boxed, Inc.",SVOK Seven Oaks Acquisition Corp.,,12/8/2021,0.80%,0.70%,$10.08 ,0.80%,"$691,365,699 ",Warrants Trading,$0.91 ,12/17/2020,$258.80 ,Positive Social Impact with Emphasis on ...,,JonesTrading,Clos. PR Link,SEC Filings,12/22/2021,1/3/2022,1/8/2022,
CVT,Cvent Holding Corp.,DGNS Dragoneer Growth Opportunities Corp. II,,12/8/2021,-20.50%,-15.70%,$7.95 ,9.10%,"$3,824,917,475 ",,,11/16/2020,$276.00 ,"Software, Internet, Media, Consumer / Re...","Marc Stad (Founder/Managing Partner, Dra...","Citigroup, Credit Suisse, Morgan Stanley",Clos. PR Link,SEC Filings,12/21/2021,1/4/2022,1/8/2022,
SLDP,"Solid Power, Inc.",DCRC Decarbonization Plus Acquisition Corp III,,12/8/2021,-20.00%,,$8.00 ,0.30%,"$1,340,463,904 ",Warrants Trading,$1.90 ,3/23/2021,$350.00 ,"Global decarbonization (incl. energy, ag...","Erik Anderson (Founder, WestRiver Group;...","Credit Suisse, Citigroup",Clos. PR Link,SEC Filings,12/17/2021,12/29/2021,3/23/2022,
BBAI,"BigBear.ai Holdings, Inc.","GIG GigCapital4, Inc.",,12/7/2021,-14.60%,-13.50%,$8.54 ,7.70%,"$1,157,735,579 ",Warrants Trading,$1.07 ,2/8/2021,$358.80 ,"TMT (Tech, Media, Telecom), Sustainabili...",Avi Katz (Fmr CEO of Gig Optix),"Nomura, Oppenheimer",Clos. PR Link,SEC Filings,12/23/2021,,2/8/2022,
PL,Planet Labs PBC,"DMYQ dMY Technology Group, Inc. IV",,12/7/2021,-49.40%,-48.70%,$5.06 ,7.90%,"$1,222,206,457 ",Warrants Trading,$1.30 ,3/4/2021,$345.00 ,"Mobile Apps, Consumer Internet, Tech","Harry You (Fmr CFO, Oracle; Founder, GTY...",Goldman Sachs & Co. LLC,Clos. PR Link,SEC Filings,12/28/2021,1/7/2022,3/4/2022,
VCSA,"Vacasa, Inc.",TPGS TPG Pace Solutions Corp.,,12/6/2021,-37.60%,,$6.24 ,8.70%,"$1,314,468,861 ",,,4/8/2021,$285.00 ,,Karl Peterson (Senior Partner of TPG and...,"Deutsche Bank Securities, J.P. Morgan Se...",Clos. PR Link,SEC Filings,12/28/2021,1/3/2022,4/8/2022,
PEAR,"Pear Therapeutics, Inc.",THMA Thimble Point Acquisition Corp.,,12/3/2021,-59.10%,-53.80%,$4.09 ,10.80%,"$112,884,000 ",Warrants Trading,$0.54 ,2/1/2021,$276.00 ,"Software, Tech","Elon Bons (Co-founder, LaunchCapital), M...","Citigroup, Credit Suisse",Clos. PR Link,SEC Filings,12/23/2021,1/3/2022,2/1/2022,
PIII,P3 Health Partners,FORE Foresight Acquisition Corp.,,12/3/2021,-35.00%,-32.50%,$6.50 ,-6.10%,"$270,262,785 ",Warrants Trading,$1.24 ,2/9/2021,$316.30 ,"Consumer Tech, Healthcare Tech","Greg Wasson (Fmr CEO, Walgreens)","Cowen, William Blair",Clos. PR Link,SEC Filings,12/28/2021,1/7/2022,2/9/2022,
BZFD,"BuzzFeed, Inc.","ENFA 890 5th Avenue Partners, Inc.",,12/3/2021,-57.50%,-49.70%,$4.25 ,1.20%,"$125,491,875 ",Warrants Trading,$0.70 ,1/11/2021,$287.50 ,"Tech, Media, Telecom (TMT)","Adam Rothstein (GP, Distruptive Technolo...","Cowen, Craig-Hallum Capital",Clos. PR Link,SEC Filings,1/11/2022,1/25/2022,1/11/2022,
HGTY,"Hagerty, Inc.",ADF Aldel Financial Inc.,,12/2/2021,45.70%,,$14.57 ,0.10%,"$175,896,325 ",Warrants Trading,$4.72 ,4/8/2021,$116.20 ,"Restructuring, Transient Current Ownersh...","Robert Kauffman (Co-founder,Fortress Inv...",UBS Investment Bank,Clos. PR Link,SEC Filings,12/21/2021,1/3/2022,4/8/2022,
GRAB,Grab Holdings Limited,AGC Altimeter Growth Corp,,12/1/2021,-68.60%,-47.70%,$3.14 ,-3.10%,"$11,361,172,404 ",Warrants Trading,$0.82 ,9/30/2020,$500.00 ,Tech,"Brad Gerstner (Founder, Altimeter: inves...","Citigroup, Goldman Sachs, Morgan Stanley",Clos. PR Link,SEC Filings,12/30/2021,1/18/2022,1/1/2022,
